z,active_density_mean,active_density_sem,duct_density_mean,duct_density_sem,n_samples
-164.0,0.0,0.0,0.027362637362637356,0.006513693971433096,26
-162.0,0.0,0.0,0.02788177339901476,0.007131807318563094,29
-160.0,0.0,0.0,0.02205357142857143,0.004230120168415589,32
-158.0,0.0,0.0,0.025396825396825404,0.0047259530106044615,27
-156.0,0.0,0.0,0.01887445887445888,0.002279005963327252,33
-154.0,0.0,0.0,0.0279047619047619,0.004329135988444235,30
-152.0,0.0,0.0,0.02357142857142857,0.003746844184508986,32
-150.0,0.0,0.0,0.02317460317460317,0.004119651605716403,36
-148.0,0.0,0.0,0.02253968253968254,0.005144844385239975,36
-146.0,0.0,0.0,0.024897959183673473,0.004522558713093983,42
-144.0,0.0,0.0,0.024603174603174603,0.00371703679344791,36
-142.0,0.0,0.0,0.021904761904761903,0.0027483288894745365,42
-140.0,0.0,0.0,0.027106227106227107,0.004051327023667112,39
-138.0,0.0,0.0,0.021672473867595823,0.0029378422304798158,41
-136.0,0.0,0.0,0.021395348837209307,0.0037146533266091517,43
-134.0,5.9523809523809524e-05,5.952380952380952e-05,0.02208333333333334,0.0031541883594790113,48
-132.0,0.0,0.0,0.024474393530997302,0.0034827339750051235,53
-130.0,0.0,0.0,0.024107142857142855,0.00312093562586265,48
-128.0,0.0,0.0,0.023367346938775513,0.0030519029382390663,56
-126.0,0.0,0.0,0.02397759103641456,0.0029236828024318934,51
-124.0,0.0,0.0,0.019417989417989417,0.0021619951741027256,54
-122.0,0.0,0.0,0.02091644204851753,0.003119580538617217,53
-120.0,0.0,0.0,0.021311475409836057,0.002759109547198065,61
-118.0,0.0,0.0,0.02312087912087912,0.002887695895699603,65
-116.0,0.0,0.0,0.022857142857142854,0.003038417407677391,59
-114.0,0.0,0.0,0.025584415584415585,0.00270977371317972,66
-112.0,0.0,0.0,0.026938775510204092,0.003572102510161315,63
-110.0,0.0,0.0,0.02337236533957846,0.002607782056081142,61
-108.0,9.216589861751152e-05,9.216589861751155e-05,0.03294930875576037,0.00482223422464121,62
