times_used,z_from_front,barw_active_raw_norm,barw_active_norm,barw_active_sem_norm,pde_active_norm,barw_duct_raw_norm,barw_duct_norm,barw_duct_sem_norm,pde_inactive_norm,n_samples_active,n_samples_duct
140;180;220;260;300,-164.0,0.0,0.0,0.0,0.0,0.7366863905325441,0.8443766981248464,0.21049571361490305,0.20268775728687632,16,26
140;180;220;260;300,-162.0,0.0,0.0,0.0,0.0,0.7506631299734743,0.8285685150367493,0.2304705866546322,0.20185917039893714,6,29
140;180;220;260;300,-160.0,0.0,0.0,0.0,0.0,0.59375,0.8124254926486608,0.13670003034108294,0.20080344627597718,13,32
140;180;220;260;300,-158.0,0.0,0.0,0.0,1.5542340693045937e-10,0.6837606837606839,0.7978841150784409,0.15272330199123837,0.20011527963696196,21,27
140;180;220;260;300,-156.0,0.0,0.0,0.0,1.7216066631108372e-10,0.5081585081585083,0.7863604190935906,0.07364806954196601,0.19975003495741145,23,33
140;180;220;260;300,-154.0,0.0,0.0,0.0,2.0430069760818606e-10,0.7512820512820512,0.7783401097704306,0.13989981310451985,0.19956310151507162,24,30
140;180;220;260;300,-152.0,0.0,0.0,0.0,2.5564322264513204e-10,0.6346153846153846,0.7734197117816554,0.12108254454093512,0.19946779944711462,24,32
140;180;220;260;300,-150.0,0.0,0.0,0.0,3.3186198979356173e-10,0.6239316239316238,0.7706583687369213,0.1331301421886216,0.19941932488655462,25,36
140;180;220;260;300,-148.0,0.0,0.0,0.0,4.3992525470993046e-10,0.6068376068376068,0.7689584669357218,0.16626014287104265,0.39972389853830703,7,36
140;180;220;260;300,-146.0,0.0,0.0,0.0,5.882556030550177e-10,0.6703296703296704,0.7673389496307254,0.1461504375018355,0.40014233170754515,18,42
140;180;220;260;300,-144.0,0.0,0.0,0.0,7.881781861182343e-10,0.6623931623931624,0.7650923546151787,0.12011929264732195,0.40103216717574314,29,36
140;180;220;260;300,-142.0,0.0,0.0,0.0,1.0554742126940235e-09,0.5897435897435896,0.7619301073909639,0.0888146500857357,0.4019585083995554,31,42
140;180;220;260;300,-140.0,0.0,0.0,0.0,1.411779313259078e-09,0.7297830374753451,0.7580448749414498,0.13092217360443875,0.40193414596764737,33,39
140;180;220;260;300,-138.0,0.0,0.0,0.0,1.8863136703822748e-09,0.5834896810506568,0.7539733229223113,0.09493893933380335,0.4009486362649692,35,41
140;180;220;260;300,-136.0,0.0,0.0,0.0,6.614383183436508e-09,0.5760286225402506,0.7502153486726633,0.12004226883329226,0.3999634711971855,35,43
140;180;220;260;300,-134.0,0.0,0.0,0.0,7.715211118610182e-09,0.5945512820512823,0.7468393950944425,0.1019303535775843,0.39937071815122305,9,48
140;180;220;260;300,-132.0,0.0,0.0,0.0,9.46972295855893e-09,0.6589259796806965,0.7434144541854248,0.11254759229013639,0.39906146611795246,28,53
140;180;220;260;300,-130.0,0.0,2.7065046924040634e-06,0.0,1.2045606662721616e-08,0.6490384615384615,0.7394009293597238,0.10085576242808911,0.3989034847318512,41,48
140;180;220;260;300,-128.0,0.0,7.1306901217175955e-06,0.0,1.5693214525395084e-08,0.6291208791208792,0.7348290448028565,0.09862491079339311,0.3988229975594919,43,56
140;180;220;260;300,-126.0,0.0,1.7648627547491587e-05,0.0,2.0746065775449796e-08,0.6455505279034689,0.7307788701644669,0.09448136504118264,0.5990603769806324,43,51
140;180;220;260;300,-124.0,0.0,4.103428845620371e-05,0.0,2.7623368938576397e-08,0.5227920227920227,0.7292259203474565,0.069866763621473,0.5992474171089147,44,54
140;180;220;260;300,-122.0,0.0,8.962712611728208e-05,0.0,3.6872205993914016e-08,0.5631349782293181,0.7323716646120737,0.10081197159941511,0.5999081441812768,46,53
140;180;220;260;300,-120.0,0.0,0.00018390292208326754,0.0,4.923499589811456e-08,0.5737704918032784,0.741740896232651,0.08916303646229937,0.6009236431985338,20,61
140;180;220;260;300,-118.0,0.0,0.00035448216024872926,0.0,6.571925757921249e-08,0.6224852071005916,0.7575809584622295,0.09331841669779588,0.6014778153290138,28,65
140;180;220;260;300,-116.0,0.0,0.0006418842689499867,0.0,8.768027800980249e-08,0.6153846153846153,0.7787509983911339,0.09818911408702269,0.6008716691384268,48,59
140;180;220;260;300,-114.0,0.0,0.0010918819226389976,0.0,1.1693142006038508e-07,0.6888111888111887,0.8030709706333125,0.08756870586678428,0.5997818253583801,50,66
140;180;220;260;300,-112.0,0.0,0.0017448223442604674,0.0,2.7009524593112556e-07,0.7252747252747256,0.8278228917998417,0.11543561461125293,0.5989915539835083,52,63
140;180;220;260;300,-110.0,0.0,0.0026192885681479853,0.0,3.3112337700763604e-07,0.6292559899117278,0.8501942218067577,0.08427275632756939,0.598560615777502,55,61
140;180;220;260;300,-108.0,0.0,0.0036937889317855753,0.0,4.195763688277378e-07,0.8870967741935484,0.8676649368594033,0.1558347135720185,0.5983392661833523,59,62
140;180;220;260;300,-106.0,0.0,0.0048934752787909075,0.0,5.435002248097755e-07,0.684723726977248,0.8783649377615612,0.07688592233176161,0.5982262266923175,18,71
140;180;220;260;300,-104.0,0.0,0.006090028381311583,0.0,7.14185980919109e-07,0.7702564102564105,0.8814567522703585,0.10192263331612496,0.5981685019342357,42,75
140;180;220;260;300,-102.0,0.0,0.00711996451828718,0.0,9.464213641168062e-07,0.8561872909698997,0.877382104694869,0.11533963281367193,0.7984671243896835,61,69
140;180;220;260;300,-100.0,0.0,0.007819751229953778,0.0,1.2592102791513348e-06,0.710059171597633,0.8678261513349863,0.08178068590632778,0.7988825917236569,64,78
140;180;220;260;300,-98.0,0.00973731884057971,0.008069819506386893,0.08089081230657491,1.677758875548435e-06,0.6619718309859155,0.8552457107540905,0.08521020968526365,0.7997703236075033,64,71
140;180;220;260;300,-96.0,0.0,0.007830380044586117,0.0,2.2360923518220323e-06,0.6417281348788197,0.8421336712856206,0.09896519893582265,0.8006947792526441,67,73
140;180;220;260;300,-94.0,0.0,0.007147192744054356,0.0,2.9799946828041907e-06,0.7548076923076923,0.8303836265319456,0.10166365286383348,0.8006683469844513,70,80
140;180;220;260;300,-92.0,0.0,0.0061556170256951365,0.0,3.97074956663204e-06,0.6302131603336423,0.8210594830436387,0.07346591402685897,0.7996802850097957,19,83
140;180;220;260;300,-90.0,0.0,0.005042037818329099,0.0,8.606636027550763e-06,0.6813186813186813,0.8146808361276862,0.08125650846554557,0.7986918139654531,54,91
140;180;220;260;300,-88.0,0.0,0.004010203967644243,0.0,1.0480982071068842e-05,0.6681574239713773,0.811758980363233,0.09397438259463996,0.7980947019810437,75,86
