time,x,active_density,inactive_density
0.0,0.0,2.6837010232200948e-05,0.0
0.0,1.5,0.0004068855384810161,0.0
0.0,3.0,0.0035149546898725938,0.0
0.0,4.5,0.017301213346390985,0.0
0.0,6.0,0.04852245277701067,0.0
0.0,7.5,0.07753865875810753,0.0
0.0,9.0,0.07059975220676763,0.0
0.0,10.5,0.03662666894172914,0.0
0.0,12.0,0.010826822658929017,0.0
0.0,13.5,0.0018235344706889875,0.0
0.0,15.0,0.00017499928945463082,0.0
0.0,16.5,9.56903068648195e-06,0.0
0.0,18.0,2.9813225376629366e-07,0.0
0.0,19.5,5.292481310158161e-09,0.0
0.0,21.0,5.353268873034225e-11,0.0
0.0,22.5,3.085234182775779e-13,0.0
0.0,24.0,1.013133243927534e-15,0.0
0.0,25.5,1.895633397872141e-18,0.0
0.0,27.0,2.020931024740554e-21,0.0
0.0,28.5,1.2276031227549252e-24,0.0
0.0,30.0,4.248873799743277e-28,0.0
0.0,31.5,8.379132019475247e-32,0.0
0.0,33.0,9.415287551373379e-36,0.0
0.0,34.5,6.028059042676391e-40,0.0
0.0,36.0,2.1990280063281717e-44,0.0
0.0,37.5,4.570812195411453e-49,0.0
0.0,39.0,5.413340540134724e-54,0.0
0.0,40.5,3.6529747743953044e-59,0.0
0.0,42.0,1.4045504782838612e-64,0.0
0.0,43.5,3.077070060810713e-70,0.0
0.0,45.0,3.8410217934174253e-76,0.0
0.0,46.5,2.7319044895697513e-82,0.0
0.0,48.0,1.1071172213893901e-88,0.0
0.0,49.5,2.55641322002755e-95,0.0
0.0,51.0,3.3633948673811578e-102,0.0
0.0,52.5,2.5213550923186245e-109,0.0
0.0,54.0,1.0769598769258561e-116,0.0
0.0,55.5,2.6210444593834915e-124,0.0
0.0,57.0,3.634616600131142e-132,0.0
0.0,58.5,2.871786686308628e-140,0.0
0.0,60.0,1.2928707310562009e-148,0.0
0.0,61.5,3.31640364305742e-157,0.0
0.0,63.0,4.847178546605349e-166,0.0
0.0,64.5,4.0366398663279645e-175,0.0
0.0,66.0,1.9154038087590048e-184,0.0
0.0,67.5,5.1785722793654034e-194,0.0
0.0,69.0,7.977541860499846e-204,0.0
0.0,70.5,7.002248112458867e-214,0.0
0.0,72.0,3.501992829642441e-224,0.0
0.0,73.5,9.979352508316885e-235,0.0
0.0,75.0,1.6203126739521046e-245,0.0
0.0,76.5,1.499010407663552e-256,0.0
0.0,78.0,7.901686977215912e-268,0.0
0.0,79.5,2.3732546925149093e-279,0.0
0.0,81.0,4.061423049316831e-291,0.0
0.0,82.5,3.96023961742921e-303,0.0
0.0,84.0,2.20026025e-315,0.0
0.0,85.5,0.0,0.0
0.0,87.0,0.0,0.0
0.0,88.5,0.0,0.0
0.0,90.0,0.0,0.0
0.0,91.5,0.0,0.0
0.0,93.0,0.0,0.0
0.0,94.5,0.0,0.0
0.0,96.0,0.0,0.0
0.0,97.5,0.0,0.0
0.0,99.0,0.0,0.0
0.0,100.5,0.0,0.0
0.0,102.0,0.0,0.0
0.0,103.5,0.0,0.0
0.0,105.0,0.0,0.0
0.0,106.5,0.0,0.0
0.0,108.0,0.0,0.0
0.0,109.5,0.0,0.0
0.0,111.0,0.0,0.0
0.0,112.5,0.0,0.0
0.0,114.0,0.0,0.0
0.0,115.5,0.0,0.0
0.0,117.0,0.0,0.0
0.0,118.5,0.0,0.0
0.0,120.0,0.0,0.0
0.0,121.5,0.0,0.0
0.0,123.0,0.0,0.0
0.0,124.5,0.0,0.0
0.0,126.0,0.0,0.0
0.0,127.5,0.0,0.0
0.0,129.0,0.0,0.0
0.0,130.5,0.0,0.0
0.0,132.0,0.0,0.0
0.0,133.5,0.0,0.0
0.0,135.0,0.0,0.0
0.0,136.5,0.0,0.0
0.0,138.0,0.0,0.0
0.0,139.5,0.0,0.0
0.0,141.0,0.0,0.0
0.0,142.5,0.0,0.0
0.0,144.0,0.0,0.0
0.0,145.5,0.0,0.0
0.0,147.0,0.0,0.0
0.0,148.5,0.0,0.0
0.0,150.0,0.0,0.0
0.0,151.5,0.0,0.0
0.0,153.0,0.0,0.0
0.0,154.5,0.0,0.0
0.0,156.0,0.0,0.0
0.0,157.5,0.0,0.0
0.0,159.0,0.0,0.0
0.0,160.5,0.0,0.0
0.0,162.0,0.0,0.0
0.0,163.5,0.0,0.0
0.0,165.0,0.0,0.0
0.0,166.5,0.0,0.0
0.0,168.0,0.0,0.0
0.0,169.5,0.0,0.0
0.0,171.0,0.0,0.0
0.0,172.5,0.0,0.0
0.0,174.0,0.0,0.0
0.0,175.5,0.0,0.0
0.0,177.0,0.0,0.0
0.0,178.5,0.0,0.0
0.0,180.0,0.0,0.0
0.0,181.5,0.0,0.0
0.0,183.0,0.0,0.0
0.0,184.5,0.0,0.0
0.0,186.0,0.0,0.0
0.0,187.5,0.0,0.0
0.0,189.0,0.0,0.0
0.0,190.5,0.0,0.0
0.0,192.0,0.0,0.0
0.0,193.5,0.0,0.0
0.0,195.0,0.0,0.0
0.0,196.5,0.0,0.0
0.0,198.0,0.0,0.0
0.0,199.5,0.0,0.0
0.0,201.0,0.0,0.0
0.0,202.5,0.0,0.0
0.0,204.0,0.0,0.0
0.0,205.5,0.0,0.0
0.0,207.0,0.0,0.0
0.0,208.5,0.0,0.0
0.0,210.0,0.0,0.0
0.0,211.5,0.0,0.0
0.0,213.0,0.0,0.0
0.0,214.5,0.0,0.0
0.0,216.0,0.0,0.0
0.0,217.5,0.0,0.0
0.0,219.0,0.0,0.0
0.0,220.5,0.0,0.0
0.0,222.0,0.0,0.0
0.0,223.5,0.0,0.0
0.0,225.0,0.0,0.0
0.0,226.5,0.0,0.0
0.0,228.0,0.0,0.0
0.0,229.5,0.0,0.0
0.0,231.0,0.0,0.0
0.0,232.5,0.0,0.0
0.0,234.0,0.0,0.0
0.0,235.5,0.0,0.0
0.0,237.0,0.0,0.0
0.0,238.5,0.0,0.0
0.0,240.0,0.0,0.0
0.0,241.5,0.0,0.0
0.0,243.0,0.0,0.0
0.0,244.5,0.0,0.0
0.0,246.0,0.0,0.0
0.0,247.5,0.0,0.0
0.0,249.0,0.0,0.0
0.0,250.5,0.0,0.0
0.0,252.0,0.0,0.0
0.0,253.5,0.0,0.0
0.0,255.0,0.0,0.0
0.0,256.5,0.0,0.0
0.0,258.0,0.0,0.0
0.0,259.5,0.0,0.0
0.0,261.0,0.0,0.0
0.0,262.5,0.0,0.0
0.0,264.0,0.0,0.0
0.0,265.5,0.0,0.0
0.0,267.0,0.0,0.0
0.0,268.5,0.0,0.0
0.0,270.0,0.0,0.0
0.0,271.5,0.0,0.0
0.0,273.0,0.0,0.0
0.0,274.5,0.0,0.0
0.0,276.0,0.0,0.0
0.0,277.5,0.0,0.0
0.0,279.0,0.0,0.0
1.0,0.0,0.0005726651906209079,1.8357745385864424e-05
1.0,1.5,0.0019267152662504493,8.287616727210361e-05
1.0,3.0,0.008450008317795944,0.0004661586068410882
1.0,4.5,0.02546463458455175,0.0017156681282240339
1.0,6.0,0.05201622386145192,0.004029467172628354
1.0,7.5,0.0719746519367975,0.005957162480907915
1.0,9.0,0.06744808433318218,0.005508311442892601
1.0,10.5,0.04280808729243177,0.0031896759595301943
1.0,12.0,0.018406865343564165,0.0011670794146482013
1.0,13.5,0.0053654090113338625,0.000274111010695331
1.0,15.0,0.0010611635501716365,4.217977572164666e-05
1.0,16.5,0.00014254940276292198,4.343829340409992e-06
1.0,18.0,1.3019791852613923e-05,3.046957536670976e-07
1.0,19.5,8.092925832788446e-07,1.4717901771766451e-08
1.0,21.0,3.4259669305276465e-08,4.917492069890158e-10
1.0,22.5,9.881139704943861e-10,1.1365969043439144e-11
1.0,24.0,1.9415937560995875e-11,1.813701424328186e-13
1.0,25.5,2.59769440360962e-13,1.9924591061323236e-15
1.0,27.0,2.36363879424849e-15,1.5019918169816166e-17
1.0,28.5,1.4599134844556356e-17,7.741514824041304e-20
1.0,30.0,6.105163629920848e-20,2.716999945682663e-22
1.0,31.5,1.722773848778271e-22,6.463164227166567e-25
1.0,33.0,3.266726768245292e-25,1.0366048537270846e-27
1.0,34.5,4.14188714607654e-28,1.1143789938844861e-30
1.0,36.0,3.491345337125829e-31,7.977342615209272e-34
1.0,37.5,1.9439289875474354e-34,3.775425813973267e-37
1.0,39.0,7.098142421661624e-38,1.1721267092156181e-40
1.0,40.5,1.6865627484299707e-41,2.367416223453937e-44
1.0,42.0,2.5861050462401418e-45,3.083677942077962e-48
1.0,43.5,2.5368496561055675e-49,2.5669805753573092e-52
1.0,45.0,1.5778001001422943e-53,1.3530655261000142e-56
1.0,46.5,6.165513346325622e-58,4.474260209606275e-61
1.0,48.0,1.5000651316500728e-62,9.196783241085992e-66
1.0,49.5,2.2522349864734938e-67,1.1645880547233254e-70
1.0,51.0,2.068964249704988e-72,9.007370179614208e-76
1.0,52.5,1.1534144636474469e-77,4.220710283139982e-81
1.0,54.0,3.872515740002931e-83,1.1891827749672884e-86
1.0,55.5,7.775217480516825e-89,2.000630217345468e-92
1.0,57.0,9.275790982808848e-95,1.9970968970711063e-98
1.0,58.5,6.537230948129501e-101,1.1762153373293546e-104
1.0,60.0,2.7077068507640476e-107,4.0667522263189e-111
1.0,61.5,6.56144556766071e-114,8.217946035384621e-118
1.0,63.0,9.265338666619207e-121,9.668545161158376e-125
1.0,64.5,7.597834276585899e-128,6.600762620569496e-132
1.0,66.0,3.6074092370805754e-135,2.6074628903272696e-139
1.0,67.5,9.891761888513443e-143,5.945243136579526e-147
1.0,69.0,1.5630883381059983e-150,7.80807002019286e-155
1.0,70.5,1.4207796190377845e-158,5.896220252263517e-163
1.0,72.0,7.417003917925434e-167,2.556302846057105e-171
1.0,73.5,2.220855946421013e-175,6.354986070176011e-180
1.0,75.0,3.809996975921733e-184,9.049467713756088e-189
1.0,76.5,3.741456300547931e-193,7.374867079588079e-198
1.0,78.0,2.101518941178269e-202,3.437062240799042e-207
1.0,79.5,6.747182027712605e-212,9.15492500226807e-217
1.0,81.0,1.2375828926064036e-221,1.3929417513781223e-226
1.0,82.5,1.2962658815127567e-231,1.2101402712851387e-236
1.0,84.0,7.750318554302642e-242,6.000784865167984e-247
1.0,85.5,2.6443300946320994e-252,1.6979348571197193e-257
1.0,87.0,5.147189394703346e-263,2.740737147062527e-268
1.0,88.5,5.714650404730088e-274,2.523236915283236e-279
1.0,90.0,3.618234284859281e-285,1.324704243442891e-290
1.0,91.5,1.30625150097392e-296,3.965414630052381e-302
1.0,93.0,2.688602232214668e-308,6.767309285e-314
1.0,94.5,3.1546e-320,0.0
1.0,96.0,0.0,0.0
1.0,97.5,0.0,0.0
1.0,99.0,0.0,0.0
1.0,100.5,0.0,0.0
1.0,102.0,0.0,0.0
1.0,103.5,0.0,0.0
1.0,105.0,0.0,0.0
1.0,106.5,0.0,0.0
1.0,108.0,0.0,0.0
1.0,109.5,0.0,0.0
1.0,111.0,0.0,0.0
1.0,112.5,0.0,0.0
1.0,114.0,0.0,0.0
1.0,115.5,0.0,0.0
1.0,117.0,0.0,0.0
1.0,118.5,0.0,0.0
1.0,120.0,0.0,0.0
1.0,121.5,0.0,0.0
1.0,123.0,0.0,0.0
1.0,124.5,0.0,0.0
1.0,126.0,0.0,0.0
1.0,127.5,0.0,0.0
1.0,129.0,0.0,0.0
1.0,130.5,0.0,0.0
1.0,132.0,0.0,0.0
1.0,133.5,0.0,0.0
1.0,135.0,0.0,0.0
1.0,136.5,0.0,0.0
1.0,138.0,0.0,0.0
1.0,139.5,0.0,0.0
1.0,141.0,0.0,0.0
1.0,142.5,0.0,0.0
1.0,144.0,0.0,0.0
1.0,145.5,0.0,0.0
1.0,147.0,0.0,0.0
1.0,148.5,0.0,0.0
1.0,150.0,0.0,0.0
1.0,151.5,0.0,0.0
1.0,153.0,0.0,0.0
1.0,154.5,0.0,0.0
1.0,156.0,0.0,0.0
1.0,157.5,0.0,0.0
1.0,159.0,0.0,0.0
1.0,160.5,0.0,0.0
1.0,162.0,0.0,0.0
1.0,163.5,0.0,0.0
1.0,165.0,0.0,0.0
1.0,166.5,0.0,0.0
1.0,168.0,0.0,0.0
1.0,169.5,0.0,0.0
1.0,171.0,0.0,0.0
1.0,172.5,0.0,0.0
1.0,174.0,0.0,0.0
1.0,175.5,0.0,0.0
1.0,177.0,0.0,0.0
1.0,178.5,0.0,0.0
1.0,180.0,0.0,0.0
1.0,181.5,0.0,0.0
1.0,183.0,0.0,0.0
1.0,184.5,0.0,0.0
1.0,186.0,0.0,0.0
1.0,187.5,0.0,0.0
1.0,189.0,0.0,0.0
1.0,190.5,0.0,0.0
1.0,192.0,0.0,0.0
1.0,193.5,0.0,0.0
1.0,195.0,0.0,0.0
1.0,196.5,0.0,0.0
1.0,198.0,0.0,0.0
1.0,199.5,0.0,0.0
1.0,201.0,0.0,0.0
1.0,202.5,0.0,0.0
1.0,204.0,0.0,0.0
1.0,205.5,0.0,0.0
1.0,207.0,0.0,0.0
1.0,208.5,0.0,0.0
1.0,210.0,0.0,0.0
1.0,211.5,0.0,0.0
1.0,213.0,0.0,0.0
1.0,214.5,0.0,0.0
1.0,216.0,0.0,0.0
1.0,217.5,0.0,0.0
1.0,219.0,0.0,0.0
1.0,220.5,0.0,0.0
1.0,222.0,0.0,0.0
1.0,223.5,0.0,0.0
1.0,225.0,0.0,0.0
1.0,226.5,0.0,0.0
1.0,228.0,0.0,0.0
1.0,229.5,0.0,0.0
1.0,231.0,0.0,0.0
1.0,232.5,0.0,0.0
1.0,234.0,0.0,0.0
1.0,235.5,0.0,0.0
1.0,237.0,0.0,0.0
1.0,238.5,0.0,0.0
1.0,240.0,0.0,0.0
1.0,241.5,0.0,0.0
