generation_persistence,experiment_mean,experiment_sd,experiment_sem,experiment_n,simulation_mean,simulation_sd,simulation_sem,simulation_n
0.0,1.0,0.0,0.0,10,1.0,0.14,0.14,1
0.25,,,,,0.9302213516221769,0.1309544947228109,0.1309544947228109,1
0.5,,,,,0.8785528837427821,0.12436404154314493,0.12436404154314493,1
0.75,,,,,0.833585551600501,0.11864701017780464,0.11864701017780464,1
1.0,0.5916561122056477,0.1189364360293737,0.0376110034635734,10,0.793125177843072,0.11350502545131964,0.11350502545131964,1
1.25,,,,,0.7561190362460943,0.10879712799318801,0.10879712799318801,1
1.5,,,,,0.7219329361949621,0.10443963143620454,0.10443963143620454,1
1.75,,,,,0.6901363771438271,0.10037650196458554,0.10037650196458554,1
2.0,0.49281664686076454,0.1608846502518595,0.05087619353554583,10,0.6604145938130502,0.09656728949533047,0.09656728949533047,1
2.25,,,,,0.632525490019429,0.09298124703285607,0.09298124703285607,1
2.5,,,,,0.6062759214563851,0.08959410839299914,0.08959410839299914,1
2.75,,,,,0.5815074895796696,0.08638616817422426,0.08638616817422426,1
3.0,0.4208685148700629,0.20278137289985257,0.06412510054194774,10,0.5580874758819281,0.08334106306503461,0.08334106306503461,1
3.25,,,,,0.5359027622150312,0.08044495908361192,0.08044495908361192,1
3.5,,,,,0.5148555873375188,0.07768598751159451,0.07768598751159451,1
3.75,,,,,0.4948604859880992,0.07505384037486171,0.07505384037486171,1
4.0,0.365450753666698,0.21546535486743731,0.06813612782375492,10,0.47584201920578967,0.07253947226114926,0.07253947226114926,1
4.25,,,,,0.457733051436672,0.07013487532568564,0.07013487532568564,1
4.5,,,,,0.44047341605495427,0.06783290607246298,0.06783290607246298,1
4.75,,,,,0.42400886345488,0.06562714964362755,0.06562714964362755,1
5.0,0.3488438956124715,0.22273342088626924,0.07043449210415303,10,0.4082902190397837,0.06351181185063302,0.06351181185063302,1
5.25,,,,,0.39327270001423126,0.061481632102224834,0.061481632102224834,1
5.5,,,,,0.37891535429744355,0.05953181233073169,0.05953181233073169,1
5.75,,,,,0.36518059472783715,0.057657958345361845,0.057657958345361845,1
6.0,0.3108017090408731,0.1940529221868304,0.06136492207218066,10,0.3520338086037587,0.05585603096512972,0.05585603096512972,1
6.25,,,,,0.3394430274937571,0.054122304939282384,0.054122304939282384,1
