paso,n_puntas_activas,n_bifurcaciones_acum,n_terminaciones_acum,n_segmentos,n_puntas_totales
0,1,0,0,1,1
1,1,0,0,2,1
2,1,0,0,3,1
3,1,0,0,4,1
4,1,0,0,5,1
5,1,0,0,6,1
6,1,0,0,7,1
7,1,0,0,8,1
8,2,1,0,9,2
9,2,1,0,11,2
10,1,1,1,12,2
11,1,1,1,13,2
12,1,1,1,14,2
13,1,1,1,15,2
14,1,1,1,16,2
15,1,1,1,17,2
16,1,1,1,18,2
17,2,2,1,19,3
18,2,2,1,21,3
19,1,2,2,22,3
20,1,2,2,23,3
21,1,2,2,24,3
22,1,2,2,25,3
23,1,2,2,26,3
24,1,2,2,27,3
25,1,2,2,28,3
26,1,2,2,29,3
27,1,2,2,30,3
28,1,2,2,31,3
29,1,2,2,32,3
30,1,2,2,33,3
31,2,3,2,34,4
32,3,4,2,36,5
33,2,4,3,38,5
34,2,4,3,40,5
35,2,4,3,42,5
36,2,4,3,44,5
37,2,4,3,46,5
38,2,4,3,48,5
39,2,4,3,50,5
40,2,4,3,52,5
41,3,5,3,54,6
42,3,5,3,57,6
43,2,5,4,59,6
44,2,5,4,61,6
45,3,6,4,63,7
46,3,6,4,66,7
47,3,6,4,69,7
48,2,6,5,71,7
49,2,6,5,73,7
50,3,7,5,75,8
51,3,7,5,78,8
52,2,7,6,80,8
53,2,7,6,82,8
54,3,8,6,84,9
55,3,8,6,87,9
56,3,8,6,90,9
57,2,8,7,92,9
58,2,8,7,94,9
59,2,8,7,96,9
60,2,8,7,98,9
61,2,8,7,100,9
62,2,8,7,102,9
63,2,8,7,104,9
64,2,8,7,106,9
65,2,8,7,108,9
66,2,8,7,110,9
67,2,8,7,112,9
68,2,8,7,114,9
69,2,8,7,116,9
70,2,8,7,118,9
71,2,8,7,120,9
72,2,8,7,122,9
73,2,8,7,124,9
74,2,8,7,126,9
75,2,8,7,128,9
76,3,9,7,130,10
77,3,9,7,133,10
78,2,9,8,135,10
79,2,9,8,137,10
80,2,9,8,139,10
81,2,9,8,141,10
82,2,9,8,143,10
83,2,9,8,145,10
84,3,10,8,147,11
85,5,12,8,150,13
86,5,13,9,154,14
87,5,14,10,158,15
88,5,14,10,163,15
89,6,15,10,168,16
90,7,16,10,174,17
91,7,17,11,180,18
92,9,19,11,187,20
93,9,20,12,195,21
94,7,20,14,202,21
95,8,21,14,209,22
96,7,21,15,216,22
97,7,22,16,222,23
98,7,23,17,228,24
99,5,23,19,233,24
100,5,24,20,237,25
101,5,24,20,242,25
102,4,24,21,246,25
103,4,24,21,250,25
104,5,25,21,254,26
105,5,25,21,259,26
106,4,25,22,263,26
107,4,25,22,267,26
108,5,26,22,271,27
109,5,26,22,276,27
110,5,26,22,281,27
111,5,27,23,285,28
112,7,29,23,290,30
113,7,30,24,296,31
114,9,32,24,303,33
115,9,33,25,311,34
116,11,35,25,320,36
117,12,36,25,331,37
118,11,36,26,342,37
119,10,37,28,351,38
120,9,37,29,360,38
121,7,37,31,367,38
122,7,38,32,373,39
123,5,38,34,378,39
124,6,39,34,383,40
125,9,42,34,389,43
126,9,42,34,398,43
127,7,42,36,405,43
128,7,42,36,412,43
129,8,44,37,418,45
130,8,44,37,426,45
131,7,44,38,433,45
132,7,45,39,439,46
133,7,45,39,446,46
134,8,46,39,453,47
135,9,47,39,461,48
136,6,47,42,467,48
137,4,47,44,471,48
138,4,47,44,475,48
139,3,47,45,478,48
140,4,48,45,481,49
141,4,49,46,484,50
142,5,50,46,488,51
143,6,51,46,493,52
144,6,52,47,498,53
145,7,54,48,503,55
146,8,55,48,510,56
147,9,57,49,517,58
148,8,57,50,525,58
149,8,58,51,532,59
150,7,58,52,539,59
151,6,58,53,545,59
152,5,58,54,550,59
153,4,58,55,554,59
154,1,58,58,555,59
155,1,58,58,556,59
156,1,58,58,557,59
157,1,58,58,558,59
158,1,58,58,559,59
159,1,58,58,560,59
160,1,58,58,561,59
161,2,59,58,562,60
162,2,59,58,564,60
163,2,60,59,565,61
164,2,60,59,567,61
165,2,60,59,569,61
166,2,60,59,571,61
167,2,60,59,573,61
168,1,60,60,574,61
169,1,60,60,575,61
170,1,60,60,576,61
171,1,60,60,577,61
172,2,61,60,578,62
173,2,61,60,580,62
174,1,61,61,581,62
175,1,61,61,582,62
176,1,61,61,583,62
177,1,61,61,584,62
178,1,61,61,585,62
179,2,62,61,586,63
180,3,63,61,588,64
181,3,64,62,590,65
182,4,65,62,593,66
183,4,65,62,597,66
184,4,65,62,601,66
185,5,66,62,605,67
186,4,66,63,609,67
187,3,66,64,612,67
188,2,66,65,614,67
189,2,66,65,616,67
190,2,66,65,618,67
191,3,67,65,620,68
192,3,67,65,623,68
193,2,67,66,625,68
194,2,67,66,627,68
195,2,67,66,629,68
196,2,67,66,631,68
197,4,69,66,633,70
198,4,69,66,637,70
199,2,69,68,639,70
200,3,70,68,641,71
201,4,71,68,644,72
202,5,72,68,648,73
203,5,72,68,653,73
204,4,72,69,657,73
205,4,72,69,661,73
206,4,72,69,665,73
207,3,72,70,668,73
208,2,72,71,670,73
209,3,73,71,672,74
210,3,73,71,675,74
211,2,73,72,677,74
212,2,73,72,679,74
213,2,73,72,681,74
214,2,73,72,683,74
215,3,74,72,685,75
216,3,74,72,688,75
217,2,74,73,690,75
218,2,74,73,692,75
219,2,74,73,694,75
220,2,74,73,696,75
221,2,74,73,698,75
222,2,74,73,700,75
223,3,75,73,702,76
224,3,75,73,705,76
225,3,76,74,707,77
226,3,76,74,710,77
227,2,76,75,712,77
228,2,76,75,714,77
229,2,76,75,716,77
230,2,76,75,718,77
231,3,77,75,720,78
232,3,77,75,723,78
233,2,77,76,725,78
234,3,78,76,727,79
235,4,79,76,730,80
236,4,79,76,734,80
237,3,79,77,737,80
238,2,79,78,739,80
239,2,79,78,741,80
240,2,79,78,743,80
241,2,79,78,745,80
242,2,79,78,747,80
243,2,79,78,749,80
244,2,79,78,751,80
245,3,80,78,753,81
246,3,80,78,756,81
247,2,80,79,758,81
248,2,80,79,760,81
249,3,81,79,762,82
250,3,81,79,765,82
251,3,82,80,767,83
252,4,83,80,770,84
253,3,83,81,773,84
254,3,83,81,776,84
255,3,83,81,779,84
256,2,83,82,781,84
257,2,83,82,783,84
258,2,83,82,785,84
259,3,84,82,787,85
260,4,85,82,790,86
261,4,86,83,793,87
262,5,87,83,797,88
263,6,88,83,802,89
264,7,89,83,808,90
265,8,91,84,814,92
266,7,91,85,821,92
267,8,92,85,828,93
268,8,93,86,835,94
269,7,93,87,842,94
270,8,94,87,849,95
271,8,95,88,856,96
272,6,95,90,862,96
273,7,96,90,868,97
274,6,96,91,874,97
275,6,97,92,879,98
276,6,97,92,885,98
277,5,97,93,890,98
278,6,98,93,895,99
279,7,99,93,901,100
280,7,100,94,907,101
281,8,101,94,914,102
282,7,101,95,921,102
283,7,102,96,927,103
284,7,102,96,934,103
285,8,104,97,940,105
286,7,104,98,947,105
287,5,104,100,952,105
288,5,104,100,957,105
289,7,106,100,962,107
290,8,107,100,969,108
291,4,107,104,973,108
292,4,107,104,977,108
293,5,108,104,981,109
294,5,108,104,986,109
295,5,108,104,991,109
296,5,108,104,996,109
297,4,108,105,1000,109
298,4,108,105,1004,109
299,5,109,105,1008,110
300,5,109,105,1013,110
301,4,109,106,1017,110
302,3,109,107,1020,110
303,3,109,107,1023,110
304,3,109,107,1026,110
305,3,109,107,1029,110
306,3,109,107,1032,110
307,3,109,107,1035,110
308,4,110,107,1038,111
309,5,111,107,1042,112
310,4,111,108,1046,112
311,4,112,109,1049,113
312,6,114,109,1053,115
313,6,114,109,1059,115
314,6,114,109,1065,115
315,5,114,110,1070,115
316,5,114,110,1075,115
317,5,114,110,1080,115
318,7,116,110,1085,117
319,8,117,110,1092,118
320,6,117,112,1098,118
321,5,117,113,1103,118
322,5,117,113,1108,118
323,7,119,113,1113,120
324,7,119,113,1120,120
325,6,119,114,1126,120
326,6,120,115,1131,121
327,8,122,115,1137,123
328,7,122,116,1144,123
329,7,123,117,1150,124
330,7,124,118,1156,125
331,7,124,118,1163,125
332,8,125,118,1170,126
333,8,126,119,1177,127
334,7,126,120,1184,127
335,6,126,121,1190,127
336,5,126,122,1195,127
337,6,127,122,1200,128
338,6,127,122,1206,128
339,5,127,123,1211,128
340,5,127,123,1216,128
341,5,127,123,1221,128
342,5,127,123,1226,128
343,5,127,123,1231,128
344,5,127,123,1236,128
345,5,127,123,1241,128
346,5,127,123,1246,128
347,6,128,123,1251,129
348,8,130,123,1257,131
349,7,130,124,1264,131
350,7,131,125,1270,132
351,7,131,125,1277,132
352,6,131,126,1283,132
353,6,131,126,1289,132
354,5,131,127,1294,132
355,6,133,128,1298,134
356,7,134,128,1304,135
357,5,134,130,1309,135
358,5,134,130,1314,135
359,5,134,130,1319,135
360,5,134,130,1324,135
361,7,136,130,1329,137
362,11,140,130,1336,141
363,10,141,132,1345,142
364,9,142,134,1353,143
365,8,142,135,1361,143
366,8,142,135,1369,143
367,9,143,135,1377,144
368,8,143,136,1385,144
369,7,144,138,1391,145
370,8,145,138,1398,146
371,8,145,138,1406,146
372,9,146,138,1414,147
373,10,147,138,1423,148
374,9,147,139,1432,148
375,9,147,139,1441,148
376,8,147,140,1449,148
377,7,147,141,1456,148
378,7,147,141,1463,148
379,6,147,142,1469,148
380,6,147,142,1475,148
381,6,147,142,1481,148
382,6,147,142,1487,148
383,6,147,142,1493,148
384,7,148,142,1499,149
385,8,149,142,1506,150
386,7,149,143,1513,150
387,7,150,144,1519,151
388,7,150,144,1526,151
389,8,152,145,1532,153
390,8,152,145,1540,153
391,8,152,145,1548,153
392,10,155,146,1555,156
393,11,156,146,1565,157
394,11,158,148,1574,159
395,12,159,148,1585,160
396,12,161,150,1595,162
397,14,163,150,1607,164
398,15,164,150,1621,165
399,17,168,152,1634,169
400,17,169,153,1650,170
401,16,171,156,1664,172
402,18,174,157,1679,175
403,19,176,158,1696,177
404,18,177,160,1713,178
405,18,178,161,1730,179
406,14,178,165,1744,179
407,14,179,166,1757,180
408,13,180,168,1769,181
409,14,183,170,1780,184
410,12,184,173,1791,185
411,12,186,175,1801,187
412,14,188,175,1813,189
413,17,191,175,1827,192
414,21,196,176,1843,197
415,24,201,178,1862,202
416,24,205,182,1882,206
417,26,208,183,1905,209
418,26,210,185,1929,211
419,29,215,187,1953,216
420,28,217,190,1979,218
421,26,219,194,2003,220
422,26,225,200,2023,226
423,22,226,205,2044,227
424,20,227,208,2063,228
425,22,231,210,2081,232
426,20,233,214,2099,234
427,21,237,217,2116,238
428,21,239,219,2135,240
429,16,239,224,2151,240
430,16,240,225,2166,241
431,16,241,226,2181,242
432,16,243,228,2195,244
433,17,246,230,2209,247
434,16,247,232,2224,248
435,14,248,235,2237,249
436,13,248,236,2250,249
437,15,252,238,2261,253
438,16,253,238,2276,254
439,13,254,242,2288,255
440,12,255,244,2299,256
441,11,255,245,2310,256
442,12,256,245,2321,257
443,14,258,245,2333,259
444,16,261,246,2346,262
445,12,261,250,2358,262
446,12,263,252,2368,264
447,12,264,253,2379,265
448,12,265,254,2390,266
449,12,266,255,2401,267
450,11,268,258,2410,269
451,10,268,259,2420,269
452,10,268,259,2430,269
453,9,269,261,2438,270
454,11,271,261,2447,272
455,11,272,262,2457,273
456,11,273,263,2467,274
457,10,273,264,2477,274
458,10,273,264,2487,274
459,9,273,265,2496,274
460,11,275,265,2505,276
461,11,275,265,2516,276
462,10,276,267,2525,277
463,11,277,267,2535,278
464,11,278,268,2545,279
465,11,279,269,2555,280
466,11,279,269,2566,280
467,13,281,269,2577,282
468,13,281,269,2590,282
469,12,282,271,2601,283
470,13,284,272,2612,285
471,11,285,275,2622,286
472,10,286,277,2631,287
473,10,287,278,2640,288
474,9,288,280,2648,289
475,10,289,280,2657,290
476,9,289,281,2666,290
477,6,289,284,2672,290
478,6,289,284,2678,290
479,5,289,285,2683,290
480,4,289,286,2687,290
481,3,289,287,2690,290
482,3,289,287,2693,290
483,2,289,288,2695,290
484,2,289,288,2697,290
485,3,290,288,2699,291
486,3,290,288,2702,291
487,2,290,289,2704,291
488,1,290,290,2705,291
489,1,290,290,2706,291
490,1,290,290,2707,291
491,1,290,290,2708,291
492,1,290,290,2709,291
493,1,290,290,2710,291
494,2,291,290,2711,292
495,0,291,292,2711,292
