id_edge,id_rama_padre,id_rama_hijo,delta_generacion
0,0,1,1
1,1,2,1
2,2,3,1
3,3,4,1
4,3,7,1
5,4,5,1
6,5,6,1
7,6,10,1
8,7,8,1
9,8,9,1
10,9,11,1
11,10,12,1
12,10,13,1
13,10,14,1
14,10,15,1
15,11,18,1
16,12,22,1
17,12,23,1
18,15,16,1
19,15,17,1
20,15,20,1
21,16,19,1
22,16,21,1
23,18,24,1
24,21,46,1
25,21,47,1
26,22,25,1
27,23,27,1
28,24,40,1
29,25,26,1
30,26,28,1
31,26,31,1
32,27,29,1
33,28,34,1
34,29,30,1
35,29,32,1
36,30,33,1
37,31,35,1
38,32,37,1
39,34,36,1
40,34,38,1
41,36,41,1
42,38,39,1
43,38,42,1
44,39,43,1
45,40,50,1
46,42,44,1
47,43,45,1
48,46,48,1
49,47,51,1
50,48,49,1
51,48,53,1
52,50,54,1
53,51,52,1
54,52,55,1
55,52,56,1
56,53,58,1
57,54,59,1
58,55,57,1
59,59,60,1
60,60,61,1
61,61,62,1
62,62,63,1
63,63,64,1
64,63,65,1
65,63,66,1
66,65,67,1
67,66,68,1
68,67,69,1
69,68,70,1
70,69,73,1
71,70,71,1
72,70,72,1
73,72,74,1
74,73,76,1
75,74,75,1
76,75,79,1
77,76,77,1
78,77,78,1
79,78,81,1
80,79,80,1
81,80,82,1
82,81,83,1
83,82,88,1
84,83,84,1
85,83,85,1
86,84,86,1
87,84,89,1
88,85,96,1
89,86,87,1
90,86,90,1
91,87,91,1
92,88,94,1
93,88,95,1
94,90,92,1
95,91,101,1
96,92,93,1
97,93,97,1
98,94,103,1
99,95,109,1
100,96,98,1
101,96,99,1
102,98,100,1
103,98,102,1
104,102,104,1
105,102,105,1
106,102,107,1
107,103,110,1
108,104,106,1
109,107,108,1
110,108,111,1
111,109,118,1
112,110,112,1
113,110,113,1
114,112,114,1
115,112,115,1
116,113,121,1
117,114,116,1
118,114,117,1
119,116,120,1
120,117,119,1
121,118,125,1
122,119,122,1
123,120,124,1
124,121,127,1
125,122,123,1
126,122,131,1
127,123,126,1
128,124,128,1
129,125,132,1
130,125,134,1
131,126,133,1
132,127,129,1
133,128,130,1
134,129,141,1
135,131,137,1
136,132,135,1
137,133,136,1
138,133,138,1
139,134,139,1
140,135,189,1
141,136,140,1
142,136,143,1
143,137,142,1
144,138,148,1
145,139,149,1
146,141,150,1
147,142,153,1
148,143,144,1
149,144,145,1
150,145,146,1
151,146,147,1
152,147,211,1
153,148,154,1
154,149,151,1
155,150,152,1
156,150,165,1
157,151,157,1
158,152,155,1
159,153,156,1
160,153,158,1
161,153,159,1
162,153,160,1
163,154,169,1
164,156,162,1
165,156,166,1
166,158,161,1
167,158,163,1
168,159,164,1
169,159,167,1
170,159,170,1
171,160,180,1
172,161,168,1
173,163,171,1
174,164,175,1
175,165,172,1
176,165,177,1
177,167,178,1
178,168,216,1
179,169,173,1
180,170,174,1
181,170,176,1
182,172,181,1
183,175,182,1
184,176,179,1
185,177,183,1
186,179,187,1
187,180,185,1
188,181,188,1
189,181,190,1
190,182,184,1
191,182,191,1
192,184,186,1
193,184,192,1
194,184,197,1
195,185,206,1
196,188,193,1
197,188,198,1
198,189,194,1
199,189,199,1
200,189,202,1
201,189,207,1
202,190,195,1
203,190,200,1
204,191,196,1
205,191,201,1
206,191,203,1
207,191,209,1
208,193,220,1
209,194,204,1
210,196,221,1
211,197,210,1
212,199,212,1
213,201,205,1
214,203,213,1
215,203,217,1
216,204,214,1
217,205,208,1
218,205,218,1
219,207,215,1
220,209,222,1
221,210,223,1
222,211,228,1
223,213,226,1
224,213,229,1
225,214,230,1
226,216,224,1
227,216,227,1
228,216,232,1
229,217,219,1
230,218,225,1
231,220,231,1
232,222,249,1
233,223,242,1
234,223,244,1
235,224,234,1
236,228,235,1
237,229,238,1
238,229,241,1
239,230,248,1
240,231,233,1
241,231,236,1
242,232,240,1
243,233,237,1
244,234,245,1
245,236,239,1
246,237,246,1
247,239,243,1
248,239,247,1
249,240,264,1
250,241,250,1
251,242,251,1
252,244,253,1
253,245,252,1
254,248,259,1
255,249,257,1
256,250,258,1
257,251,254,1
258,251,256,1
259,252,265,1
260,252,266,1
261,254,255,1
262,255,260,1
263,257,261,1
264,257,262,1
265,259,263,1
266,259,267,1
267,260,270,1
268,261,289,1
269,262,268,1
270,264,269,1
271,264,271,1
272,265,283,1
273,266,272,1
274,266,273,1
275,267,282,1
276,268,277,1
277,269,290,1
278,270,274,1
279,271,285,1
280,272,275,1
281,273,276,1
282,275,280,1
283,276,281,1
284,277,278,1
285,277,279,1
286,281,284,1
287,281,286,1
288,281,287,1
289,285,291,1
290,286,288,1
