id_rama,id_rama_padre,generacion,n_puntas,x_creacion,y_creacion,paso_creacion,x_dendro,y_dendro
0,,0,1,8.690558373571381,70.966093426566,0,16.489089400679976,-0.0
1,0,1,1,17.74032978105496,71.46856150170792,9,16.489089400679976,-1.0
2,1,2,1,29.24592419779771,63.22270239157344,18,16.489089400679976,-2.0
3,2,3,1,44.08317786140186,57.66762574527415,32,16.489089400679976,-3.0
4,3,4,1,38.55724059480218,62.07384037099362,33,7.067708333333334,-4.0
5,4,5,1,41.464223469724395,66.2778482857296,42,7.067708333333334,-5.0
6,5,6,1,59.5887868221746,93.94586423203334,46,7.067708333333334,-6.0
7,3,4,1,49.23278547092403,57.06311109679237,51,25.91047046802662,-4.0
8,7,5,1,67.69894103706318,48.29085215397202,55,25.91047046802662,-5.0
9,8,6,1,76.64730421407319,48.637645875568104,77,25.91047046802662,-6.0
10,6,7,1,56.68850933318556,98.32402867526525,85,7.067708333333334,-7.0
11,9,7,1,81.62716722246105,53.828401090717904,86,25.91047046802662,-7.0
12,10,8,1,46.95152956236886,92.75579208462291,86,3.1875,-8.0
13,10,8,1,54.047236319348066,98.56769937987431,87,6.0,-8.0
14,10,8,1,53.8219580055894,99.84797843355607,88,7.0,-8.0
15,10,8,1,51.79838706090306,100.06541011482666,90,12.083333333333334,-8.0
16,15,9,1,52.83063587260355,102.86466737723248,91,9.25,-9.0
17,15,9,1,49.718710576213915,99.90567140993964,92,13.0,-9.0
18,11,8,1,81.37848508884214,62.027393327764386,93,25.91047046802662,-8.0
19,16,10,1,49.42488108909212,100.08631154443958,93,8.0,-10.0
20,15,9,1,50.964079265758656,104.64178699399169,94,14.0,-9.0
21,16,10,1,17.3429186599898,97.3520510472044,96,10.5,-10.0
22,12,9,1,43.66671790031145,86.52840521728994,98,1.875,-9.0
23,12,9,1,33.95166941636952,97.11133795196008,99,4.5,-9.0
24,18,9,1,88.74974662546991,84.6705490381613,101,25.91047046802662,-9.0
25,22,10,1,46.109968850943325,81.99478274726802,105,1.875,-10.0
26,25,11,1,44.40708526771035,77.91410281136874,109,1.875,-11.0
27,23,10,1,29.359692439639495,94.96134979685903,112,4.5,-10.0
28,26,12,1,40.154534892061896,76.06472766508828,113,0.75,-12.0
29,27,11,1,29.283757318359587,92.91505732970167,113,4.5,-11.0
30,29,12,1,31.588555927575364,90.39078531354579,114,4.0,-12.0
31,26,12,1,44.94813651734799,71.9917882395305,115,3.0,-12.0
32,29,12,1,29.38289220625411,90.27837120230177,115,5.0,-12.0
33,30,13,1,29.96863619489476,89.13845240161363,116,4.0,-13.0
34,28,13,1,38.789147109128045,72.22997521424931,117,0.75,-13.0
35,31,13,1,42.09852132044963,70.71278861764505,117,3.0,-13.0
36,34,14,1,32.96476199958711,74.18192136431617,118,0.0,-14.0
37,32,13,1,37.47681416627583,79.98384238654666,120,5.0,-13.0
38,34,14,1,34.26808902317362,68.35257164576394,123,1.5,-14.0
39,38,15,1,35.94627006198797,65.12362131316756,125,1.0,-15.0
40,24,10,1,104.08945213839928,91.12248012878766,126,25.91047046802662,-10.0
41,36,15,1,24.670812732261886,69.90052160741357,126,0.0,-15.0
42,38,15,1,31.136432967684456,68.18920245108455,126,2.0,-15.0
43,39,16,1,36.23734697341404,60.08751411233868,130,1.0,-16.0
44,42,16,1,29.170359658359885,64.58849133933703,130,2.0,-16.0
45,43,17,1,32.28544926354966,58.76903927928357,133,1.0,-17.0
46,21,11,1,12.09792991883739,97.7821063241328,135,9.5,-11.0
47,21,11,1,11.412413279394196,91.83427739614899,136,11.5,-11.0
48,46,12,1,6.396928562696877,96.29284979447183,141,9.5,-12.0
49,48,13,1,9.909975125931735,91.6282420921193,142,9.0,-13.0
50,40,11,1,106.96707796223882,95.40536493615437,143,25.91047046802662,-11.0
51,47,12,1,14.342588668140436,87.6205681133749,144,11.5,-12.0
52,51,13,1,17.505429429077843,89.92967728981696,145,11.5,-13.0
53,48,13,1,1.825415756388034,94.55456087419931,146,10.0,-13.0
54,50,12,1,121.69009036806536,93.98550906507424,146,25.91047046802662,-12.0
55,52,14,1,18.780534374663496,88.27333683543029,147,11.0,-14.0
56,52,14,1,16.184193709157107,85.13287163353333,148,12.0,-14.0
57,55,15,1,16.30202450977816,84.81443062327453,148,11.0,-15.0
58,53,14,1,0.2963345897431833,93.10077720561624,150,10.0,-14.0
59,54,13,1,125.3713159199816,97.60489013187467,162,25.91047046802662,-13.0
60,59,14,1,127.91840867936446,103.28779205203777,164,25.91047046802662,-14.0
61,60,15,1,134.93004892699844,104.55728770554654,173,25.91047046802662,-15.0
62,61,16,1,138.4702184984156,108.39315926972893,180,25.91047046802662,-16.0
63,62,17,1,140.66945671387057,106.10997152074005,181,25.91047046802662,-17.0
64,63,18,1,141.08142751939135,107.66238483454018,182,15.0,-18.0
65,63,18,1,140.3227502686703,114.3650818404864,183,19.375,-18.0
66,63,18,1,149.6794965857679,98.2444986932561,186,43.356411404079864,-18.0
67,65,19,1,141.5749263298205,120.08836919977665,192,19.375,-19.0
68,66,19,1,147.0892774287642,93.7079481622297,198,43.356411404079864,-19.0
69,67,20,1,152.42726773551746,125.11424229730244,198,19.375,-20.0
70,68,20,1,150.98700641758165,91.5096967753723,201,43.356411404079864,-20.0
71,70,21,1,151.553517324497,90.56174986263083,202,24.0,-21.0
72,70,21,1,146.2348905355478,81.04979745364994,203,62.71282280815972,-21.0
73,69,21,1,165.5911753684111,117.13903151278853,210,19.375,-21.0
74,72,22,1,152.8448828458396,76.50396721343196,216,62.71282280815972,-22.0
75,74,23,1,158.7249109747843,66.07392233674733,224,62.71282280815972,-23.0
76,73,22,1,170.2077183492937,113.1915342930624,226,19.375,-22.0
77,76,23,1,173.82914348196337,110.09387172782291,232,19.375,-23.0
78,77,24,1,185.93151617477653,116.82983167477852,235,19.375,-24.0
79,75,24,1,152.4439652658625,58.06501259735593,236,62.71282280815972,-24.0
80,79,25,1,147.74031524482854,55.08424757601721,246,62.71282280815972,-25.0
81,78,25,1,190.6406256412179,118.80737325324941,250,19.375,-25.0
82,80,26,1,156.11237034070234,46.22594268967344,252,62.71282280815972,-26.0
83,81,26,1,191.6371390639383,125.08967491958367,253,19.375,-26.0
84,83,27,1,189.69963235271487,129.85165118678063,260,17.25,-27.0
85,83,27,1,201.95177143128043,134.37311990229364,261,21.5,-27.0
86,84,28,1,190.25638437883256,131.57203973490616,262,16.5,-28.0
87,86,29,1,184.80957818011825,129.0054269170499,263,16.0,-29.0
88,82,27,1,163.30721460685209,45.81297231539963,264,62.71282280815972,-27.0
89,84,28,1,190.80289699936654,134.76569378170075,265,18.0,-28.0
90,86,29,1,189.09891287002537,135.53661639245772,266,17.0,-29.0
91,87,30,1,173.04497953967888,134.0303123451177,266,16.0,-30.0
92,90,30,1,189.52056506694046,137.4373209400607,268,17.0,-30.0
93,92,31,1,195.82485793193223,137.06385250284538,269,17.0,-31.0
94,88,28,1,175.21538575845412,37.2491768273707,271,53.73814561631944,-28.0
