t,residuo_euler,residuo_imex
0.005,3.552713678800501e-15,3.552713678800501e-15
0.01,0.0,3.552713678800501e-15
0.015,1.7763568394002505e-15,5.329070518200751e-15
0.02,7.105427357601002e-15,8.881784197001252e-15
0.025,1.7763568394002505e-15,8.881784197001252e-16
0.03,3.552713678800501e-15,8.881784197001252e-15
0.035,6.217248937900877e-15,1.9984014443252818e-15
0.04,3.552713678800501e-15,1.687538997430238e-14
0.045,8.881784197001252e-15,6.217248937900877e-15
0.05,1.7763568394002505e-15,7.993605777301127e-15
0.055,5.329070518200751e-15,3.2862601528904634e-14
0.06,1.199040866595169e-14,3.019806626980426e-14
0.065,3.552713678800501e-15,2.6201263381153694e-14
0.07,4.884981308350689e-15,1.1546319456101628e-14
0.075,4.440892098500626e-15,1.7319479184152442e-14
0.08,3.552713678800501e-15,1.3322676295501878e-14
0.085,1.554312234475219e-14,1.2434497875801753e-14
0.09,3.1086244689504383e-15,1.7763568394002505e-14
0.095,6.661338147750939e-16,1.021405182655144e-14
0.1,1.199040866595169e-14,1.7319479184152442e-14
0.105,1.021405182655144e-14,2.353672812205332e-14
0.11,4.884981308350689e-15,2.3092638912203256e-14
0.115,8.881784197001252e-15,1.2878587085651816e-14
0.12,5.329070518200751e-15,7.993605777301127e-15
0.125,1.021405182655144e-14,9.769962616701378e-15
0.13,8.881784197001252e-15,1.2878587085651816e-14
0.135,1.0880185641326534e-14,1.3100631690576847e-14
0.14,5.995204332975845e-15,1.9984014443252818e-14
0.145,1.4654943925052066e-14,2.2870594307278225e-14
0.15,7.993605777301127e-15,1.687538997430238e-14
0.155,2.220446049250313e-15,1.865174681370263e-14
0.16,3.3306690738754696e-15,6.8833827526759706e-15
0.165,1.6653345369377348e-14,1.0880185641326534e-14
0.17,1.709743457922741e-14,1.6209256159527285e-14
0.17500000000000002,1.7763568394002505e-14,2.7755575615628914e-14
0.18,1.2878587085651816e-14,9.325873406851315e-15
0.185,7.993605777301127e-15,1.9761969838327786e-14
0.19,1.9539925233402755e-14,1.4210854715202004e-14
0.195,1.021405182655144e-14,1.4654943925052066e-14
0.2,1.2434497875801753e-14,1.3322676295501878e-14
0.20500000000000002,1.7319479184152442e-14,1.887379141862766e-14
0.21,6.661338147750939e-15,2.5979218776228663e-14
0.215,6.217248937900877e-15,2.5091040356528538e-14
0.22,2.0650148258027912e-14,1.887379141862766e-14
0.225,1.6431300764452317e-14,3.907985046680551e-14
0.23,1.354472090042691e-14,2.2870594307278225e-14
0.23500000000000001,1.2878587085651816e-14,1.3322676295501878e-14
0.24,1.3100631690576847e-14,1.0436096431476471e-14
0.245,8.43769498715119e-15,2.3092638912203256e-14
0.25,1.2212453270876722e-14,2.0872192862952943e-14
0.255,1.2878587085651816e-14,2.0872192862952943e-14
0.26,1.199040866595169e-14,2.3092638912203256e-14
0.265,1.2212453270876722e-14,3.352873534367973e-14
0.27,1.3100631690576847e-14,2.1094237467877974e-14
0.275,1.354472090042691e-14,1.4432899320127035e-14
0.28,1.4210854715202004e-14,1.4432899320127035e-14
0.28500000000000003,1.3322676295501878e-14,2.19824158875781e-14
0.29,9.547918011776346e-15,1.6209256159527285e-14
0.295,1.9095836023552692e-14,6.8833827526759706e-15
0.3,2.0650148258027912e-14,1.509903313490213e-14
0.305,1.532107773982716e-14,2.375877272697835e-14
0.31,1.2212453270876722e-14,1.1879386363489175e-14
0.315,7.771561172376096e-15,2.0650148258027912e-14
0.32,6.439293542825908e-15,3.375077994860476e-14
0.325,2.0872192862952943e-14,3.3084646133829665e-14
0.33,8.659739592076221e-15,3.6193270602780103e-14
0.335,1.1324274851176597e-14,3.2862601528904634e-14
0.34,9.547918011776346e-15,1.6431300764452317e-14
0.34500000000000003,1.3988810110276972e-14,3.219646771412954e-14
0.35000000000000003,1.84297022087776e-14,2.0872192862952943e-14
0.355,6.439293542825908e-15,3.3306690738754696e-14
0.36,6.439293542825908e-15,1.3100631690576847e-14
0.365,1.0880185641326534e-14,2.2426505097428162e-14
0.37,6.661338147750939e-15,1.2212453270876722e-14
0.375,1.709743457922741e-14,2.4202861936828413e-14
0.38,7.993605777301127e-15,1.4654943925052066e-14
0.385,1.2434497875801753e-14,2.5757174171303632e-14
0.39,1.199040866595169e-14,1.4876988529977098e-14
0.395,7.882583474838611e-15,2.631228568361621e-14
0.4,8.215650382226158e-15,2.0872192862952943e-14
0.405,7.993605777301127e-15,1.8207657603852567e-14
0.41000000000000003,8.881784197001252e-15,4.085620730620576e-14
0.41500000000000004,1.2212453270876722e-14,3.7969627442180354e-14
0.42,1.1102230246251565e-14,1.8207657603852567e-14
0.425,1.3766765505351941e-14,3.352873534367973e-14
0.43,1.554312234475219e-14,2.298161660974074e-14
0.435,8.659739592076221e-15,2.5091040356528538e-14
0.44,1.5765166949677223e-14,2.1538326677728037e-14
0.445,1.3322676295501878e-14,3.197442310920451e-14
0.45,1.354472090042691e-14,2.6423307986078726e-14
0.455,1.4654943925052066e-14,2.2648549702353193e-14
0.46,1.4876988529977098e-14,2.7977620220553945e-14
0.465,1.532107773982716e-14,3.907985046680551e-14
0.47000000000000003,1.687538997430238e-14,2.5979218776228663e-14
0.47500000000000003,1.0658141036401503e-14,1.354472090042691e-14
0.48,1.4432899320127035e-14,2.5091040356528538e-14
0.485,1.354472090042691e-14,1.7541523789077473e-14
0.49,1.84297022087776e-14,2.1760371282653068e-14
0.495,8.215650382226158e-15,1.8318679906315083e-14
0.5,1.509903313490213e-14,3.097522238704187e-14
0.505,2.375877272697835e-14,2.0872192862952943e-14
0.51,1.6653345369377348e-14,8.43769498715119e-15
0.515,1.9539925233402755e-14,2.4424906541753444e-14
0.52,1.5765166949677223e-14,3.930189507173054e-14
0.525,1.709743457922741e-14,2.020605904817785e-14
0.53,1.84297022087776e-14,1.7763568394002505e-14
0.535,7.993605777301127e-15,1.4210854715202004e-14
0.54,8.992806499463768e-15,2.930988785010413e-14
0.545,2.3314683517128287e-14,4.551914400963142e-14
0.55,1.1102230246251565e-14,3.3306690738754696e-14
0.555,1.509903313490213e-14,2.731148640577885e-14
0.56,1.5987211554602254e-14,3.397282455352979e-14
0.5650000000000001,1.509903313490213e-14,2.1538326677728037e-14
0.5700000000000001,1.4876988529977098e-14,2.353672812205332e-14
0.5750000000000001,1.2323475573339238e-14,1.687538997430238e-14
0.58,6.217248937900877e-15,4.39648317751562e-14
0.585,1.5987211554602254e-14,4.007905118896815e-14
0.59,1.2656542480726785e-14,2.55351295663786e-14
0.595,1.021405182655144e-14,3.042011087472929e-14
0.6,1.5432100042289676e-14,3.2529534621517087e-14
0.605,7.216449660063518e-15,5.5844218138645374e-14
0.61,1.6431300764452317e-14,3.47499806707674e-14
0.615,2.398081733190338e-14,3.352873534367973e-14
0.62,1.5987211554602254e-14,2.4424906541753444e-14
0.625,2.4868995751603507e-14,2.9531932455029164e-14
0.63,9.43689570931383e-15,3.674838211509268e-14
0.635,7.771561172376096e-15,1.9984014443252818e-14
0.64,1.199040866595169e-14,4.218847493575595e-14
0.645,7.105427357601002e-15,3.141931159689193e-14
0.65,1.709743457922741e-14,2.9531932455029164e-14
0.655,1.0658141036401503e-14,2.4424906541753444e-14
0.66,1.1102230246251565e-14,1.3600232051658168e-14
0.665,2.90878432451791e-14,4.0190073491430667e-14
0.67,1.965094753586527e-14,1.887379141862766e-14
0.675,8.43769498715119e-15,2.220446049250313e-14
0.68,1.5987211554602254e-14,1.7763568394002505e-14
0.685,8.881784197001252e-15,1.2878587085651816e-14
0.6900000000000001,1.1546319456101628e-14,1.099120794378905e-14
0.6950000000000001,1.021405182655144e-14,3.241851231905457e-14
0.7000000000000001,1.0436096431476471e-14,1.509903313490213e-14
0.705,1.4654943925052066e-14,5.284661597215745e-14
0.71,1.199040866595169e-14,4.9404924595819466e-14
0.715,8.659739592076221e-15,6.161737786669619e-14
0.72,1.4432899320127035e-14,3.5860203695392556e-14
0.725,2.0872192862952943e-14,3.8191672047105385e-14
0.73,1.0436096431476471e-14,3.8746783559417963e-14
0.735,9.547918011776346e-15,3.3861802251067274e-14
0.74,1.021405182655144e-14,3.68594044175552e-14
0.745,2.4202861936828413e-14,2.9753977059954195e-14
0.75,7.327471962526033e-15,4.75175454539567e-14
0.755,1.1102230246251565e-14,1.7541523789077473e-14
0.76,1.7319479184152442e-14,3.219646771412954e-14
0.765,7.549516567451064e-15,2.8310687127941492e-14
0.77,1.8540724511240114e-14,2.7644553313166398e-14
0.775,1.9539925233402755e-14,2.6867397195928788e-14
0.78,1.2434497875801753e-14,2.2648549702353193e-14
0.785,2.0872192862952943e-14,1.9539925233402755e-14
0.79,1.0547118733938987e-14,4.973799150320701e-14
0.795,2.886579864025407e-14,4.5075054799781356e-14
0.8,1.3766765505351941e-14,2.6645352591003757e-14
0.805,1.199040866595169e-14,4.207745263329343e-14
0.81,1.4654943925052066e-14,1.865174681370263e-14
0.8150000000000001,2.0539125955565396e-14,2.1760371282653068e-14
0.8200000000000001,1.4432899320127035e-14,2.5757174171303632e-14
0.8250000000000001,2.5091040356528538e-14,1.7985612998927536e-14
0.8300000000000001,3.064215547965432e-14,3.064215547965432e-14
0.835,2.398081733190338e-14,1.9984014443252818e-14
0.84,2.353672812205332e-14,1.9984014443252818e-14
0.845,2.220446049250313e-14,2.453592884421596e-14
0.85,1.9095836023552692e-14,3.5083047578154947e-14
0.855,5.995204332975845e-15,2.5646151868841116e-14
0.86,1.7985612998927536e-14,3.1308289294429414e-14
0.865,1.5765166949677223e-14,1.9984014443252818e-14
0.87,1.942890293094024e-14,2.6645352591003757e-14
0.875,1.1102230246251565e-14,3.3084646133829665e-14
0.88,1.3766765505351941e-14,4.285460875053104e-14
0.885,1.5987211554602254e-14,3.9190872769268026e-14
0.89,2.8754776337791554e-14,4.75175454539567e-14
0.895,1.7208456881689926e-14,3.597122599785507e-14
0.9,1.1213252548714081e-14,2.1316282072803006e-14
0.905,1.9317880628477724e-14,3.008704396734174e-14
0.91,9.769962616701378e-15,1.865174681370263e-14
0.915,1.9984014443252818e-14,4.8405723873656825e-14
0.92,1.4988010832439613e-14,1.965094753586527e-14
0.925,1.2878587085651816e-14,2.853273173286652e-14
0.93,1.6209256159527285e-14,3.175237850427948e-14
0.935,2.2426505097428162e-14,5.240252676230739e-14
0.9400000000000001,1.5432100042289676e-14,4.829470157119431e-14
0.9450000000000001,1.0436096431476471e-14,2.0539125955565396e-14
0.9500000000000001,1.2878587085651816e-14,3.5638159090467525e-14
0.9550000000000001,2.298161660974074e-14,2.808864252301646e-14
0.96,2.3425705819590803e-14,2.4202861936828413e-14
0.965,1.709743457922741e-14,4.3076653355456074e-14
0.97,1.9539925233402755e-14,3.2862601528904634e-14
0.975,1.6431300764452317e-14,3.8191672047105385e-14
0.98,1.0769163338864018e-14,4.96269692007445e-14
0.985,1.3988810110276972e-14,2.90878432451791e-14
0.99,1.6209256159527285e-14,2.375877272697835e-14
0.995,9.769962616701378e-15,2.0650148258027912e-14
1.0,2.4868995751603507e-14,1.865174681370263e-14
1.0050000000000001,1.532107773982716e-14,2.5868196473766147e-14
1.01,1.454392162258955e-14,4.030109579389318e-14
1.0150000000000001,1.765254609153999e-14,3.9745984281580604e-14
1.02,1.6209256159527285e-14,3.3861802251067274e-14
1.025,1.9539925233402755e-14,5.873079800267078e-14
1.03,1.6209256159527285e-14,3.68594044175552e-14
1.035,1.609823385706477e-14,2.9531932455029164e-14
1.04,1.4654943925052066e-14,4.6407322429331543e-14
1.045,6.106226635438361e-15,2.631228568361621e-14
1.05,1.3655743202889425e-14,2.531308496145357e-14
1.055,1.5210055437364645e-14,1.7319479184152442e-14
1.06,1.8984813721090177e-14,3.430589146091734e-14
1.065,1.0769163338864018e-14,4.1522341120980855e-14
1.07,1.1879386363489175e-14,2.653433028854124e-14
1.075,1.2989609388114332e-14,2.1094237467877974e-14
1.08,2.6201263381153694e-14,3.352873534367973e-14
1.085,2.5868196473766147e-14,2.398081733190338e-14
1.09,2.098321516541546e-14,2.2426505097428162e-14
1.095,1.7541523789077473e-14,3.597122599785507e-14
1.1,1.9539925233402755e-14,1.865174681370263e-14
1.105,1.8207657603852567e-14,2.475797344914099e-14
1.11,1.587618925213974e-14,3.1530333899354446e-14
1.115,2.1538326677728037e-14,3.042011087472929e-14
1.12,1.3877787807814457e-14,3.197442310920451e-14
1.125,1.865174681370263e-14,2.3869795029440866e-14
1.1300000000000001,1.687538997430238e-14,3.907985046680551e-14
1.135,2.020605904817785e-14,1.8207657603852567e-14
1.1400000000000001,1.1879386363489175e-14,1.7208456881689926e-14
1.145,1.8540724511240114e-14,4.007905118896815e-14
1.1500000000000001,2.020605904817785e-14,5.218048215738236e-14
1.155,1.2434497875801753e-14,3.497202527569243e-14
1.16,2.1649348980190553e-14,2.0761170560490427e-14
1.165,1.3100631690576847e-14,2.398081733190338e-14
1.17,1.1879386363489175e-14,2.919886554764162e-14
1.175,1.6431300764452317e-14,2.042810365310288e-14
1.18,1.9984014443252818e-14,4.0967229608668276e-14
1.185,2.5091040356528538e-14,4.729550084903167e-14
1.19,1.63202784619898e-14,2.8976820942716586e-14
1.195,1.4432899320127035e-14,1.7319479184152442e-14
1.2,2.4202861936828413e-14,1.8207657603852567e-14
1.205,2.3203661214665772e-14,2.7644553313166398e-14
1.21,2.2093438190040615e-14,2.2648549702353193e-14
1.215,2.2648549702353193e-14,3.042011087472929e-14
1.22,1.7430501486614958e-14,5.695444116327053e-14
1.225,1.0769163338864018e-14,3.2085445411667024e-14
1.23,1.9984014443252818e-14,4.141131881851834e-14
1.235,2.4868995751603507e-14,4.263256414560601e-14
1.24,1.6431300764452317e-14,5.284661597215745e-14
1.245,3.108624468950438e-14,2.0317081350640365e-14
1.25,1.4876988529977098e-14,2.808864252301646e-14
1.2550000000000001,1.9872992140790302e-14,2.5868196473766147e-14
1.26,1.7208456881689926e-14,2.5868196473766147e-14
1.2650000000000001,2.1094237467877974e-14,3.3639757646142243e-14
1.27,9.769962616701378e-15,3.197442310920451e-14
1.2750000000000001,1.2212453270876722e-14,3.2307490016592055e-14
1.28,2.731148640577885e-14,4.04121180963557e-14
1.285,1.0658141036401503e-14,4.796163466380676e-14
1.29,1.3766765505351941e-14,3.885780586188048e-14
1.295,1.7430501486614958e-14,4.474198789239381e-14
1.3,1.1546319456101628e-14,4.75175454539567e-14
1.305,1.6986412276764895e-14,2.6867397195928788e-14
1.31,1.709743457922741e-14,4.729550084903167e-14
1.315,1.3100631690576847e-14,2.930988785010413e-14
1.32,1.7763568394002505e-14,3.863576125695545e-14
1.325,1.7319479184152442e-14,2.2648549702353193e-14
1.33,2.298161660974074e-14,4.807265696626928e-14
1.335,2.375877272697835e-14,3.552713678800501e-14
1.34,1.532107773982716e-14,4.463096558993129e-14
1.345,2.6867397195928788e-14,2.8976820942716586e-14
1.35,2.353672812205332e-14,2.2426505097428162e-14
1.355,2.353672812205332e-14,1.8096635301390052e-14
1.36,1.709743457922741e-14,2.220446049250313e-14
1.365,1.7208456881689926e-14,2.298161660974074e-14
1.37,1.7319479184152442e-14,2.55351295663786e-14
1.375,3.1308289294429414e-14,2.5202062658991053e-14
1.3800000000000001,3.019806626980426e-14,3.1530333899354446e-14
1.385,1.2545520178264269e-14,3.530509218307998e-14
1.3900000000000001,2.220446049250313e-14,2.7200464103316335e-14
1.395,2.0872192862952943e-14,2.375877272697835e-14
1.4000000000000001,2.0650148258027912e-14,4.218847493575595e-14
1.405,1.3322676295501878e-14,2.7422508708241367e-14
1.41,2.8199664825478976e-14,3.397282455352979e-14
1.415,1.354472090042691e-14,6.417089082333405e-14
1.42,9.103828801926284e-15,3.019806626980426e-14
1.425,1.9206858326015208e-14,3.0753177782116836e-14
1.43,2.353672812205332e-14,3.397282455352979e-14
1.435,2.19824158875781e-14,2.1649348980190553e-14
1.44,2.353672812205332e-14,5.1181281435219717e-14
1.445,1.8318679906315083e-14,5.062616992290714e-14
1.45,2.398081733190338e-14,2.864375403532904e-14
1.455,2.6201263381153694e-14,3.452793606584237e-14
1.46,1.9761969838327786e-14,5.762057497804562e-14
1.465,2.55351295663786e-14,3.1530333899354446e-14
1.47,2.19824158875781e-14,6.505906924303417e-14
1.475,1.9095836023552692e-14,1.9872992140790302e-14
1.48,1.9095836023552692e-14,1.7763568394002505e-14
1.485,1.9206858326015208e-14,3.275157922644212e-14
1.49,1.3766765505351941e-14,3.708144902248023e-14
1.495,2.298161660974074e-14,5.0182080713057076e-14
1.5,2.6423307986078726e-14,3.530509218307998e-14
1.5050000000000001,3.574918139293004e-14,4.285460875053104e-14
1.51,2.19824158875781e-14,2.120525977034049e-14
1.5150000000000001,2.5757174171303632e-14,1.84297022087776e-14
1.52,2.0761170560490427e-14,3.452793606584237e-14
1.5250000000000001,2.1538326677728037e-14,2.731148640577885e-14
1.53,2.4868995751603507e-14,4.296563105299356e-14
1.5350000000000001,1.2212453270876722e-14,4.873879078104437e-14
1.54,1.199040866595169e-14,5.062616992290714e-14
1.545,2.5757174171303632e-14,2.631228568361621e-14
1.55,2.298161660974074e-14,3.8413716652030416e-14
1.555,1.4210854715202004e-14,5.3290705182007514e-14
1.56,1.5654144647214707e-14,3.019806626980426e-14
1.565,2.842170943040401e-14,3.26405569239796e-14
1.57,1.887379141862766e-14,3.042011087472929e-14
1.575,1.3766765505351941e-14,4.163336342344337e-14
1.58,1.3211653993039363e-14,5.4511950509095186e-14
1.585,3.219646771412954e-14,3.885780586188048e-14
1.59,2.1760371282653068e-14,2.4646951146678475e-14
1.595,3.1308289294429414e-14,4.529709940470639e-14
1.6,1.5987211554602254e-14,3.9190872769268026e-14
1.605,1.6431300764452317e-14,2.2315482794965646e-14
1.61,2.020605904817785e-14,2.4424906541753444e-14
1.615,1.509903313490213e-14,5.0959236830294685e-14
1.62,2.3092638912203256e-14,2.6867397195928788e-14
1.625,1.765254609153999e-14,3.8413716652030416e-14
1.6300000000000001,3.175237850427948e-14,4.285460875053104e-14
1.635,3.108624468950438e-14,3.952393967665557e-14
1.6400000000000001,2.19824158875781e-14,4.851674617611934e-14
1.645,2.9753977059954195e-14,5.262457136723242e-14
1.6500000000000001,2.7977620220553945e-14,3.47499806707674e-14
1.655,2.3314683517128287e-14,1.7930101847696278e-14
1.6600000000000001,2.0317081350640365e-14,2.5091040356528538e-14
1.665,1.7319479184152442e-14,2.930988785010413e-14
1.67,1.6542323066914832e-14,2.936539900133539e-14
1.675,2.9976021664879227e-14,5.617728504603292e-14
1.68,1.4654943925052066e-14,5.995204332975845e-14
1.685,3.397282455352979e-14,3.597122599785507e-14
1.69,3.6193270602780103e-14,1.84297022087776e-14
1.695,1.2656542480726785e-14,5.728750807065808e-14
1.7,2.1760371282653068e-14,4.973799150320701e-14
1.705,3.552713678800501e-14,4.39648317751562e-14
1.71,3.1308289294429414e-14,1.7541523789077473e-14
1.715,2.1316282072803006e-14,3.497202527569243e-14
1.72,2.930988785010413e-14,5.750955267558311e-14
1.725,2.1538326677728037e-14,6.483702463810914e-14
1.73,3.008704396734174e-14,3.064215547965432e-14
1.735,2.220446049250313e-14,2.4646951146678475e-14
1.74,2.353672812205332e-14,2.6978419498391304e-14
1.745,1.2212453270876722e-14,4.4075854077618715e-14
1.75,1.6209256159527285e-14,5.861977570020827e-14
1.7550000000000001,3.3084646133829665e-14,4.107825191113079e-14
1.76,1.27675647831893e-14,5.3734794391857577e-14
1.7650000000000001,1.1879386363489175e-14,4.7406523151494184e-14
1.77,2.2315482794965646e-14,1.9095836023552692e-14
1.7750000000000001,1.9539925233402755e-14,4.0190073491430667e-14
1.78,2.930988785010413e-14,2.842170943040401e-14
1.7850000000000001,1.6209256159527285e-14,3.8191672047105385e-14
1.79,1.5765166949677223e-14,2.5757174171303632e-14
1.795,1.3433698597964394e-14,4.707345624410664e-14
1.8,3.042011087472929e-14,3.885780586188048e-14
1.805,1.1324274851176597e-14,3.019806626980426e-14
1.81,2.3092638912203256e-14,2.842170943040401e-14
1.815,2.5202062658991053e-14,4.241051954068098e-14
1.82,3.042011087472929e-14,3.552713678800501e-14
1.825,1.7541523789077473e-14,2.55351295663786e-14
1.83,1.3433698597964394e-14,2.5091040356528538e-14
1.835,2.842170943040401e-14,4.574118861455645e-14
1.84,2.0095036745715333e-14,1.887379141862766e-14
1.845,2.398081733190338e-14,1.559863349598345e-14
1.85,3.219646771412954e-14,4.04121180963557e-14
1.855,1.4654943925052066e-14,5.084821452783217e-14
1.86,2.653433028854124e-14,2.6867397195928788e-14
1.865,4.1744385725905886e-14,4.829470157119431e-14
1.87,1.6653345369377348e-14,3.652633751016765e-14
1.875,2.4868995751603507e-14,3.5638159090467525e-14
1.8800000000000001,3.3639757646142243e-14,4.773959005888173e-14
1.885,1.5432100042289676e-14,3.852473895449293e-14
1.8900000000000001,2.3314683517128287e-14,4.54081217071689e-14
1.895,2.7977620220553945e-14,7.049916206369744e-14
1.9000000000000001,1.965094753586527e-14,3.697042672001771e-14
1.905,3.5083047578154947e-14,5.773159728050814e-14
1.9100000000000001,1.5765166949677223e-14,3.68594044175552e-14
1.915,1.9539925233402755e-14,5.395683899678261e-14
1.92,9.325873406851315e-15,3.197442310920451e-14
1.925,1.9984014443252818e-14,5.007105841059456e-14
1.93,3.6415315207705135e-14,4.54081217071689e-14
1.935,2.298161660974074e-14,3.697042672001771e-14
1.94,1.887379141862766e-14,5.229150445984487e-14
1.945,1.4765966227514582e-14,3.086420008457935e-14
1.95,3.042011087472929e-14,4.4297898682543746e-14
1.955,2.2315482794965646e-14,4.729550084903167e-14
1.96,2.2870594307278225e-14,3.164135620181696e-14
1.965,2.2315482794965646e-14,4.063416270128073e-14
1.97,2.142730437526552e-14,4.2743586448068527e-14
1.975,2.0872192862952943e-14,4.7406523151494184e-14
1.98,1.765254609153999e-14,4.9404924595819466e-14
1.985,2.7533531010703882e-14,6.727951529228449e-14
1.99,2.4424906541753444e-14,2.886579864025407e-14
1.995,2.842170943040401e-14,6.417089082333405e-14
2.0,2.375877272697835e-14,2.8310687127941492e-14
2.005,2.3203661214665772e-14,7.016609515630989e-14
2.0100000000000002,5.3290705182007514e-14,5.1514348342607263e-14
2.015,1.7319479184152442e-14,4.085620730620576e-14
2.02,1.7985612998927536e-14,3.68594044175552e-14
2.025,4.196643033083092e-14,3.419486915845482e-14
2.0300000000000002,1.8762769116165146e-14,3.219646771412954e-14
2.035,3.6637359812630166e-14,3.186340080674199e-14
2.04,3.086420008457935e-14,5.1181281435219717e-14
2.045,2.4202861936828413e-14,5.828670879282072e-14
2.05,2.3314683517128287e-14,6.09512440519211e-14
2.055,4.3076653355456074e-14,5.395683899678261e-14
2.06,2.609024107869118e-14,4.796163466380676e-14
2.065,4.729550084903167e-14,3.5860203695392556e-14
2.07,1.9095836023552692e-14,6.750155989720952e-14
2.075,3.241851231905457e-14,6.616929226765933e-14
2.08,5.5289106626332796e-14,2.9753977059954195e-14
2.085,2.2426505097428162e-14,4.118927421359331e-14
2.09,2.8199664825478976e-14,5.484501741648273e-14
2.095,2.786659791809143e-14,2.7977620220553945e-14
2.1,2.5091040356528538e-14,3.108624468950438e-14
2.105,2.9753977059954195e-14,3.9190872769268026e-14
2.11,3.097522238704187e-14,2.969846590872294e-14
2.115,3.3084646133829665e-14,2.4424906541753444e-14
2.12,3.4083846855992306e-14,2.90878432451791e-14
2.125,4.04121180963557e-14,3.352873534367973e-14
2.13,3.530509218307998e-14,6.94999613415348e-14
2.1350000000000002,4.1744385725905886e-14,2.142730437526552e-14
2.14,1.8207657603852567e-14,4.773959005888173e-14
2.145,2.1538326677728037e-14,5.717648576819556e-14
2.15,2.2093438190040615e-14,5.795364188543317e-14
2.1550000000000002,2.5091040356528538e-14,4.1744385725905886e-14
2.16,2.475797344914099e-14,6.616929226765933e-14
2.165,3.8413716652030416e-14,3.574918139293004e-14
2.17,2.2648549702353193e-14,4.929390229335695e-14
2.1750000000000003,2.5646151868841116e-14,6.916689443414725e-14
2.18,2.2648549702353193e-14,3.530509218307998e-14
2.185,2.5757174171303632e-14,5.084821452783217e-14
2.19,3.175237850427948e-14,4.063416270128073e-14
2.195,1.199040866595169e-14,5.540012892879531e-14
2.2,2.19824158875781e-14,6.417089082333405e-14
2.205,1.9539925233402755e-14,6.461498003318411e-14
2.21,2.9976021664879227e-14,4.951594689828198e-14
2.215,3.2862601528904634e-14,4.75175454539567e-14
2.22,2.1538326677728037e-14,5.795364188543317e-14
2.225,2.8754776337791554e-14,4.9404924595819466e-14
2.23,3.3084646133829665e-14,3.863576125695545e-14
2.235,1.965094753586527e-14,2.3425705819590803e-14
2.24,3.907985046680551e-14,3.175237850427948e-14
2.245,4.6407322429331543e-14,4.4297898682543746e-14
2.25,2.1094237467877974e-14,5.995204332975845e-14
2.255,1.7319479184152442e-14,5.10702591327572e-14
2.2600000000000002,2.8199664825478976e-14,3.6415315207705135e-14
2.265,2.0095036745715333e-14,4.6407322429331543e-14
2.27,2.353672812205332e-14,3.6637359812630166e-14
2.275,1.887379141862766e-14,3.186340080674199e-14
2.2800000000000002,3.5083047578154947e-14,1.9317880628477724e-14
2.285,3.3639757646142243e-14,5.129230373768223e-14
2.29,1.709743457922741e-14,4.1300296516055823e-14
2.295,2.6645352591003757e-14,3.219646771412954e-14
2.3000000000000003,3.397282455352979e-14,4.773959005888173e-14
2.305,4.218847493575595e-14,3.574918139293004e-14
2.31,5.617728504603292e-14,3.7969627442180354e-14
2.315,3.6637359812630166e-14,4.529709940470639e-14
2.32,3.397282455352979e-14,6.461498003318411e-14
2.325,2.3647750424515834e-14,4.163336342344337e-14
2.33,4.6851411639181606e-14,4.651834473179406e-14
2.335,1.9317880628477724e-14,2.7644553313166398e-14
2.34,2.098321516541546e-14,4.873879078104437e-14
2.345,4.973799150320701e-14,5.784261958297066e-14
2.35,4.263256414560601e-14,4.1744385725905886e-14
2.355,1.3988810110276972e-14,4.085620730620576e-14
2.36,2.020605904817785e-14,6.794564910705958e-14
2.365,2.919886554764162e-14,4.4075854077618715e-14
2.37,2.930988785010413e-14,4.363176486776865e-14
2.375,5.284661597215745e-14,3.397282455352979e-14
2.38,3.68594044175552e-14,2.6645352591003757e-14
2.3850000000000002,3.4861002973229915e-14,4.629630012686903e-14
2.39,4.1300296516055823e-14,5.706546346573305e-14
2.395,3.064215547965432e-14,5.928590951498336e-14
2.4,1.8318679906315083e-14,3.5083047578154947e-14
2.4050000000000002,3.7969627442180354e-14,3.2085445411667024e-14
2.41,2.1094237467877974e-14,3.552713678800501e-14
2.415,2.453592884421596e-14,4.451994328746878e-14
2.42,2.6201263381153694e-14,5.218048215738236e-14
2.4250000000000003,3.4861002973229915e-14,4.2743586448068527e-14
2.43,3.1530333899354446e-14,5.495603971894525e-14
2.435,3.2862601528904634e-14,5.395683899678261e-14
2.44,3.108624468950438e-14,6.183942247162122e-14
2.445,4.063416270128073e-14,4.0190073491430667e-14
2.45,3.4861002973229915e-14,4.929390229335695e-14
2.455,5.839773109528323e-14,3.197442310920451e-14
2.46,4.773959005888173e-14,6.072919944699606e-14
2.465,2.4646951146678475e-14,4.8960835385969403e-14
2.47,3.9745984281580604e-14,5.0182080713057076e-14
2.475,2.5646151868841116e-14,7.09432512735475e-14
2.48,1.6986412276764895e-14,4.4075854077618715e-14
2.485,3.064215547965432e-14,8.970602038971265e-14
2.49,2.5091040356528538e-14,4.474198789239381e-14
2.495,2.6978419498391304e-14,3.086420008457935e-14
2.5,2.842170943040401e-14,6.261657858885883e-14
2.505,1.887379141862766e-14,3.907985046680551e-14
2.5100000000000002,4.3520742565306136e-14,3.375077994860476e-14
2.515,3.752553823233029e-14,7.038813976123492e-14
