semilla,segmentos,bifurcaciones,terminaciones,puntas_activas_finales,tiempo_final,x_max,balance_term_bif
1,228,21,22,0,137.0,96.81203263260394,1
2,723,58,59,0,386.0,186.22442462090785,1
3,118,6,7,0,109.0,26.38715198225925,1
4,1496,164,165,0,280.0,215.63652413398052,1
5,952,89,90,0,421.0,279.314207035174,1
6,247,28,29,0,117.0,50.20767917447194,1
7,119,9,10,0,99.0,19.64958446372575,1
8,117,11,12,0,92.0,22.815607674327975,1
9,579,52,53,0,282.0,82.80664230853682,1
10,1511,160,161,0,339.0,279.8240427237387,1
11,61,8,9,0,31.0,12.442606140572945,1
12,842,80,81,0,276.0,126.23427067789646,1
13,118,9,10,0,97.0,47.84185719737133,1
14,1777,181,182,0,630.0,220.37993274178524,1
15,120,8,9,0,83.0,28.024045906306654,1
16,130,18,19,0,48.0,40.631318584789746,1
17,249,20,21,0,110.0,65.49308772890227,1
18,133,12,13,0,109.0,33.561302444628595,1
19,239,25,26,0,153.0,65.72487606757561,1
20,23,3,4,0,13.0,5.783638726166326,1
21,1172,112,113,0,217.0,117.46741360891647,1
22,31,3,4,0,24.0,16.736912556561286,1
23,314,21,22,0,283.0,173.95431697092715,1
24,1215,129,130,0,449.0,186.68062402914927,1
25,1416,136,137,0,369.0,199.27107657512087,1
26,66,4,5,0,58.0,52.43428508628108,1
27,651,72,73,0,169.0,118.95067868671815,1
28,179,13,14,0,156.0,44.86029945350344,1
29,145,11,12,0,95.0,25.901477436746056,1
30,720,70,71,0,274.0,157.54548643643463,1
31,41,4,5,0,23.0,6.41710506441656,1
32,27,2,3,0,21.0,18.091700381843342,1
33,1603,165,166,0,541.0,279.7391108042,1
34,1023,94,95,0,464.0,279.9934938658055,1
35,759,87,88,0,195.0,51.75221018794679,1
36,372,31,32,0,127.0,50.58576688841812,1
37,103,15,16,0,39.0,13.450479964705165,1
38,231,23,24,0,147.0,75.54796438911262,1
39,2802,289,290,0,562.0,279.4170687996247,1
40,808,88,89,0,278.0,123.57844166438942,1
41,38,4,5,0,31.0,9.947657256406167,1
42,446,41,42,0,197.0,111.34530657409891,1
43,106,10,11,0,79.0,15.219879959513674,1
44,114,8,9,0,101.0,56.65514468655167,1
45,346,33,34,0,173.0,77.16264261911029,1
46,30,4,5,0,13.0,12.094875430992044,1
47,1737,171,172,0,506.0,279.8779490611174,1
48,316,31,32,0,130.0,82.39274556665863,1
49,1152,126,127,0,344.0,141.70202131881618,1
50,649,65,66,0,153.0,80.41357790682308,1
51,397,48,49,0,101.0,74.95777588619897,1
52,1408,137,138,0,442.0,217.6289916974738,1
53,1170,123,124,0,324.0,170.53538010094755,1
54,77,7,8,0,69.0,21.32322934543151,1
55,122,9,10,0,107.0,34.988858004128936,1
56,39,2,3,0,30.0,6.518908670930333,1
57,165,13,14,0,134.0,90.83037499683205,1
58,81,5,6,0,72.0,48.8600794993567,1
59,218,21,22,0,138.0,59.749727834156424,1
60,246,26,27,0,129.0,35.18066608272914,1
61,325,27,28,0,147.0,101.44171493870476,1
62,208,16,17,0,171.0,95.77636068304919,1
63,180,25,26,0,81.0,15.32600855578642,1
64,2095,223,224,0,476.0,267.57401727417414,1
65,482,52,53,0,217.0,149.31109109796733,1
66,1725,180,181,0,523.0,279.3971637729374,1
67,483,48,49,0,150.0,80.1710875885986,1
68,643,76,77,0,132.0,73.56090625378035,1
69,231,20,21,0,133.0,78.37142971588847,1
70,418,39,40,0,213.0,133.47816694546037,1
71,66,6,7,0,47.0,35.74074823503327,1
72,12,1,2,0,7.0,6.740764533049088,1
73,460,55,56,0,198.0,63.28919225087058,1
74,878,91,92,0,236.0,110.2213524232735,1
75,558,48,49,0,298.0,165.14452386854165,1
76,37,2,3,0,31.0,9.16350229891032,1
77,381,47,48,0,131.0,52.5531664132293,1
78,50,3,4,0,43.0,23.350704791728955,1
79,803,84,85,0,302.0,161.34964918230105,1
80,12,1,2,0,7.0,6.583285518198375,1
81,395,44,45,0,159.0,106.97554135565937,1
82,154,10,11,0,140.0,87.42354979489681,1
83,189,19,20,0,121.0,46.316324287283926,1
84,134,3,4,0,131.0,48.93233764790482,1
85,2711,291,292,0,495.0,279.56767351696226,1
86,1385,137,138,0,575.0,279.9900301670317,1
87,489,60,61,0,187.0,69.48988625674433,1
88,483,53,54,0,188.0,74.3100164562947,1
89,787,83,84,0,277.0,78.78481764624053,1
90,430,42,43,0,110.0,57.10043068046648,1
91,2665,310,311,0,453.0,219.50011876895516,1
92,249,32,33,0,69.0,26.016966348154654,1
93,397,31,32,0,151.0,98.38446379502741,1
94,326,35,36,0,139.0,57.988294006334186,1
95,62,7,8,0,39.0,36.0826509289678,1
96,1023,91,92,0,386.0,279.5563497816934,1
97,270,28,29,0,124.0,44.99977802297052,1
98,51,8,9,0,30.0,10.531005618331642,1
99,1802,187,188,0,618.0,250.09693684750548,1
100,367,33,34,0,197.0,95.27733256328762,1
